product_id,name,category,price
1,Fully-configurable tangible portal,Home & Kitchen,17.38
2,Triple-buffered demand-driven infrastructure,Sports & Outdoors,126.22
3,Front-line neutral Graphic Interface,Apparel,369.55
4,Vision-oriented executive implementation,Home & Kitchen,297.29
5,Persistent national projection,Electronics,19.75
6,Multi-channeled fault-tolerant firmware,Health & Beauty,120.17
7,Multi-lateral multimedia methodology,Electronics,282.82
8,Persistent bandwidth-monitored website,Toys & Games,114.12
9,Up-sized methodical task-force,Sports & Outdoors,405.67
10,Intuitive demand-driven hub,Electronics,380.61
11,Intuitive incremental analyzer,Apparel,350.58
12,Re-contextualized directional support,Books,142.55
13,Digitized 3rdgeneration firmware,Health & Beauty,478.82
14,Reactive optimal paradigm,Books,55.59
15,Up-sized intangible frame,Toys & Games,52.87
16,Distributed dedicated groupware,Books,303.84
17,Focused homogeneous open system,Electronics,366.22
18,Fully-configurable modular neural-net,Home & Kitchen,486.69
19,Streamlined systemic Graphical User Interface,Toys & Games,44.01
20,Function-based well-modulated matrix,Sports & Outdoors,415.56
21,Up-sized secondary support,Books,290.79
22,Pre-emptive logistical concept,Home & Kitchen,27.68
23,Upgradable heuristic concept,Health & Beauty,387.67
24,Devolved uniform moratorium,Home & Kitchen,428.38
25,Pre-emptive contextually-based moratorium,Home & Kitchen,193.16
26,Stand-alone analyzing moderator,Automotive,319.66
27,Automated asynchronous secured line,Books,85.51
28,Business-focused well-modulated ability,Books,108.71
29,Open-source client-driven product,Sports & Outdoors,352.40
30,Focused asymmetric strategy,Home & Kitchen,306.52
31,Distributed 24/7 data-warehouse,Apparel,269.40
32,Profit-focused logistical hub,Health & Beauty,85.88
33,Centralized regional productivity,Toys & Games,138.62
34,Synchronized reciprocal matrices,Health & Beauty,343.88
35,Switchable mobile adapter,Electronics,118.38
36,Adaptive national neural-net,Electronics,403.50
37,Open-source 24/7 adapter,Toys & Games,137.53
38,Progressive uniform focus group,Health & Beauty,457.00
39,Public-key executive adapter,Books,110.25
40,Profit-focused tangible service-desk,Automotive,200.84
41,Optional context-sensitive benchmark,Automotive,75.72
42,Cross-platform multi-tasking collaboration,Apparel,127.08
43,Front-line content-based process improvement,Sports & Outdoors,374.77
44,Progressive eco-centric help-desk,Toys & Games,449.42
45,Future-proofed hybrid artificial intelligence,Toys & Games,184.19
46,Multi-layered impactful knowledgebase,Apparel,257.22
47,Re-contextualized dynamic standardization,Home & Kitchen,379.11
48,Face-to-face exuding software,Home & Kitchen,80.66
49,Configurable solution-oriented projection,Apparel,397.08
50,Virtual 5thgeneration array,Toys & Games,300.22
51,Open-architected homogeneous implementation,Toys & Games,193.90
52,Reactive methodical approach,Automotive,266.91
53,Sharable 24/7 standardization,Electronics,341.74
54,Down-sized attitude-oriented methodology,Home & Kitchen,342.45
55,Optional secondary toolset,Sports & Outdoors,385.46
56,Managed non-volatile attitude,Books,60.22
57,Progressive 6thgeneration emulation,Toys & Games,83.29
58,Extended system-worthy open system,Electronics,477.14
59,Phased encompassing analyzer,Sports & Outdoors,486.08
60,Compatible systemic focus group,Apparel,256.30
61,Quality-focused non-volatile protocol,Home & Kitchen,435.91
62,Automated context-sensitive functionalities,Sports & Outdoors,421.63
63,Ameliorated demand-driven parallelism,Health & Beauty,80.66
64,Digitized web-enabled structure,Apparel,271.99
65,Object-based asynchronous framework,Electronics,301.48
66,Diverse non-volatile encoding,Automotive,14.64
67,Re-contextualized human-resource service-desk,Books,439.97
68,Quality-focused full-range info-mediaries,Sports & Outdoors,123.53
69,Versatile user-facing challenge,Health & Beauty,439.61
70,Team-oriented uniform artificial intelligence,Home & Kitchen,47.40
71,Profit-focused value-added hardware,Automotive,408.93
72,Business-focused bandwidth-monitored Internet solution,Apparel,68.55
73,Focused asynchronous Graphical User Interface,Automotive,473.69
74,Robust zero administration pricing structure,Apparel,136.20
75,Right-sized hybrid time-frame,Toys & Games,482.36
76,Inverse 4thgeneration productivity,Health & Beauty,357.91
77,Future-proofed zero tolerance knowledge user,Toys & Games,497.60
78,Pre-emptive discrete help-desk,Books,221.86
79,Reactive homogeneous Internet solution,Automotive,64.90
80,Enterprise-wide systemic paradigm,Health & Beauty,36.69
81,Switchable homogeneous artificial intelligence,Electronics,296.21
82,Visionary regional frame,Health & Beauty,296.28
83,Fully-configurable transitional archive,Electronics,40.14
84,Configurable encompassing collaboration,Electronics,118.33
85,Multi-tiered transitional toolset,Electronics,430.52
86,Sharable coherent support,Home & Kitchen,259.51
87,Networked foreground hierarchy,Sports & Outdoors,336.14
88,Customer-focused background ability,Health & Beauty,271.92
89,Integrated leadingedge hierarchy,Automotive,125.28
90,Virtual encompassing benchmark,Automotive,404.71
91,De-engineered background contingency,Health & Beauty,51.69
92,Optional local open architecture,Toys & Games,180.38
93,Realigned multimedia installation,Toys & Games,236.18
94,Customer-focused 4thgeneration array,Electronics,338.32
95,Multi-channeled neutral array,Home & Kitchen,35.00
96,Right-sized radical toolset,Books,401.29
97,Inverse human-resource access,Home & Kitchen,128.08
98,Implemented incremental info-mediaries,Health & Beauty,270.46
99,Vision-oriented attitude-oriented success,Apparel,213.83
100,Realigned dynamic orchestration,Sports & Outdoors,234.00
101,Programmable composite software,Home & Kitchen,224.35
102,Multi-tiered composite challenge,Home & Kitchen,30.04
103,Future-proofed exuding flexibility,Electronics,484.65
104,Proactive client-server architecture,Health & Beauty,87.32
105,Down-sized intermediate focus group,Automotive,243.27
106,Operative exuding matrices,Toys & Games,451.71
107,Compatible high-level extranet,Apparel,192.59
108,Fully-configurable uniform product,Toys & Games,136.28
109,Proactive radical pricing structure,Automotive,146.20
110,Exclusive logistical benchmark,Automotive,81.62
111,Devolved exuding ability,Sports & Outdoors,112.76
112,Object-based full-range process improvement,Electronics,291.69
113,Multi-tiered full-range intranet,Electronics,375.25
114,Managed intermediate projection,Electronics,29.82
115,Right-sized client-driven framework,Automotive,253.91
116,Inverse real-time solution,Apparel,33.16
117,Exclusive mission-critical functionalities,Home & Kitchen,426.41
118,Enhanced hybrid functionalities,Home & Kitchen,299.54
119,Implemented user-facing solution,Health & Beauty,204.87
120,Sharable mobile orchestration,Health & Beauty,291.56
